customer_id,churn_probability,risk_tier,monthly_fee,revenue_at_risk,recommended_action,key_factor,subscription_type,engagement_segment,region,age,churned
a9b75100-82a8-427a-a208-72f24052884a,1.0,High,8.99,107.88,Offer targeted discount / personalized content,Stable usage,Basic,Medium,Africa,51,1
49a5dfd9-7e69-4022-a6ad-0a1b9767fb5b,0.9962264180183411,High,13.99,167.24649105691913,Offer targeted discount / personalized content,Low engagement,Standard,Low,Europe,47,1
4d71f6ce-fca9-4ff7-8afa-197ac24de14b,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,Asia,27,0
d3c72c38-631b-4f9e-8a0e-de103cad1a7d,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Higher plan cost,Premium,Medium,Oceania,53,1
4e265c34-103a-4dbb-9553-76c9aa47e946,1.0,High,13.99,167.88,Offer targeted discount / personalized content,Low engagement,Standard,Low,Africa,56,1
d8079475-5be7-47e9-8782-ceb7ff61395e,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,Medium,Oceania,58,0
8e63450a-13d6-4e83-bbb5-6aebde9152cb,0.0,Low,8.99,0.0,Maintain engagement / loyalty rewards,Stable usage,Basic,High,Asia,48,0
02387681-8c42-462a-807a-de0168c73b38,1.0,High,8.99,107.88,Offer targeted discount / personalized content,Low recent activity,Basic,Medium,Europe,51,1
0bcaad0c-545c-4ee1-85a6-75e165f39361,0.0,Low,8.99,0.0,Maintain engagement / loyalty rewards,Stable usage,Basic,High,Asia,45,0
eae6439e-8cdf-4258-ab49-c493925b927a,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Low engagement,Premium,Low,Europe,32,1
45a03ce3-26d0-4cd5-a9bd-22d42490b612,0.019058380275964737,Low,17.99,4.114323133975267,Maintain engagement / loyalty rewards,Higher plan cost,Premium,Medium,Asia,26,0
9df43ad1-d6ee-44d0-a79b-c8ab444f10bf,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,South America,28,0
4690bf9c-b828-44d3-bdb6-f91b10668288,0.024321538209915162,Low,13.99,4.083099834680557,Maintain engagement / loyalty rewards,Higher plan cost,Standard,Medium,South America,47,0
0aac0e54-7d40-4cf2-abe4-45f3ff73f5ff,1.0,High,8.99,107.88,Offer targeted discount / personalized content,Stable usage,Basic,Low,South America,49,1
e2a75072-5f48-47ed-a533-eb1b0301aad9,0.008888889104127884,Low,8.99,0.9589333565533161,Maintain engagement / loyalty rewards,Stable usage,Basic,High,Oceania,39,0
25db8257-f409-4acd-81f8-99629fbf15a0,0.0,Low,17.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Premium,High,South America,32,0
bf48551e-a8e6-4fd9-bb32-3f798ed84680,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Low engagement,Premium,Low,Europe,46,1
3819aaed-bed6-49c8-ab53-0fd9d917e4e1,1.0,High,13.99,167.88,Offer targeted discount / personalized content,Higher plan cost,Standard,Medium,Africa,48,1
e2f28860-44e4-4fc2-a445-014332e7fb11,0.008888889104127884,Low,17.99,1.9189333797991273,Maintain engagement / loyalty rewards,Higher plan cost,Premium,Medium,Oceania,68,0
a088d61d-be5a-409e-b943-73b145b358d1,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,South America,21,0
109cc416-0a22-4c41-93e9-2c7dd24ddd3f,0.0,Low,8.99,0.0,Maintain engagement / loyalty rewards,Stable usage,Basic,High,Oceania,60,0
a8c8dcff-92d3-4a79-849d-42c6e6bbc7bc,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Low recent activity,Premium,Low,Europe,70,1
8071c1be-1197-49a1-aa75-5fb6a6b3087a,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,South America,53,0
98b7c57d-1094-45dd-bb45-d9bb8dff9b83,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,Oceania,36,0
18be905c-203f-4de2-8e78-ef10061fc57f,0.0,Low,8.99,0.0,Maintain engagement / loyalty rewards,Stable usage,Basic,High,Asia,55,0
b7c1bdad-cafb-4586-a15d-fc9ff30a8115,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,Oceania,45,0
6e061f35-b1b5-4efe-9e37-f40a14d929b1,0.008888889104127884,Low,17.99,1.9189333797991273,Maintain engagement / loyalty rewards,Higher plan cost,Premium,Medium,Africa,24,0
8c2d377b-f6ec-44b5-ae08-3660c4358a93,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Low recent activity,Premium,Low,North America,30,1
afcc5c55-a3d8-4e2f-ab95-3d34f5e0390d,1.0,High,8.99,107.88,Offer targeted discount / personalized content,Low recent activity,Basic,Medium,Oceania,69,1
2211b077-0300-4e0c-834c-e7751a45eb96,1.0,High,13.99,167.88,Offer targeted discount / personalized content,Low recent activity,Standard,Medium,Africa,47,1
8d755725-4f16-4006-bdae-fa3dc9fa2579,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,Medium,Asia,49,0
c39a5943-fe7c-46ec-8d3c-2a24ab46733b,1.0,High,13.99,167.88,Offer targeted discount / personalized content,Low engagement,Standard,Low,Oceania,67,1
e62d9bc8-dab9-42e0-b6b2-e8d076fe843b,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Higher plan cost,Premium,Medium,Africa,23,1
7a89d8b6-28ec-4b0c-9d3b-88e0a5119e3b,0.024321538209915162,Low,8.99,2.6238075420856477,Maintain engagement / loyalty rewards,Stable usage,Basic,High,Oceania,67,0
c8648f0f-0b92-4445-a3a7-5c48711cbc07,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Low engagement,Premium,Low,South America,57,1
ebe928a7-de65-4567-b349-06056b35e6a6,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Low recent activity,Standard,Medium,North America,55,0
8b3597af-7da9-405d-9815-60d1e4dbe2e5,0.0,Low,13.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,Europe,35,0
839ec473-5f41-4a8b-955a-ec14b3a9cad4,1.0,High,13.99,167.88,Offer targeted discount / personalized content,Higher plan cost,Standard,Medium,Asia,22,1
cdf4012d-14b0-41d5-ab40-cc6627fe1e3b,1.0,High,17.99,215.88,Offer targeted discount / personalized content,Low recent activity,Premium,Medium,North America,34,1
aa97d1a3-c4ad-4c76-bd2a-56f1b46a753c,0.019058380275964737,Low,13.99,3.1995208807289597,Maintain engagement / loyalty rewards,Higher plan cost,Standard,High,Asia,19,0
6ead42f9-86d8-4c66-b2fc-3d791323186d,0.0,Low,17.99,0.0,Maintain engagement / loyalty rewards,Higher plan cost,Premium,High,South America,25,0
